,,,,,,,,,,,,,
Organisation Type,Project/Scheme Type,Organisation Name,Scheme/Project Name,Referral method,Address,Post Code,Number of Clients,Contact Details,Opening Time(s),Notes,Website,,
,,,,,,,,,,,,,
Salvation Army,Food Distribution,Salvation Army Bolton Citadel,Drop In Centre,Not known,"102 St George's Road, Bolton",BL1 2BZ,,bolton.citadel@salvationarmy.org.uk,Wednesday 9:30am - 12noon,,http://www.salvationarmy.org.uk/Bolton-Citadel,,
Registered Charity,Hot & cold meals for 16 - 25 year olds,Young People's Support Foundation (YPSF) ,Wythenshawe,,"St Andrew's Hall, Brownley Road, Wythenshawe, Manchester",M22 0DW,,info@ypsf.co.uk,Tuesdays and Thursdays 10am- 12noon,,http://www.ypsf.co.uk/,,
Registered Charity,Hot & cold meals for 16 - 25 year olds,Young People's Support Foundation (YPSF) ,Norther Quarter,,"52 Oldham Street, Northern Quarter, Manchester",M4 1LE,,info@ypsf.co.uk,"Monday, Wednesday, Friday 10am -12noon",,http://www.ypsf.co.uk/,,
Registered Charity,Children's Charity,Wood Street Mission,Independent,Referral Only,26 Wood Street Manchester ,M3 3EF,,info@woodstreetmission.org.uk 0161 834 3140,Monday-Friday 8.30-4.30 (Office) Tuesday-Thursday 10am-1pm (community Shop),,http://www.woodstreetmission.org.uk,,
Church Group,Food Bank,Wellspring Community Church,,Foodbank voucher,"Brendon Avenue, Moston, Manchester",M40 9DN,,office@wellspringcommunitychurch.org 0161 219 1284,,,http://wellspringcommunitychurch.org/,,
Community Organisation,Food Distribution,Wai Yin Society,Cheetham Welcome Centre,Referral only,"18-32 Brentfield Avenue, Cheetham Hill, Manchester",M8 0TW,,info@waiyin.org.uk,"Mondays, Tuesdays, Thursdays and Fridays 10am - 3pm 2. We also provide a hot meal for 50p each lunchtime (Halal)- free to those with no money",A referral is required for food parcels. Phoning in advance is advised,http://www.waiyin.org.uk,,
Registered Charity,Food Bank,Urban Outreach,Storehouse,Referral,"Environ House, Salop Street, Bolton",BL2 1DZ,Appoximately 100 food parcels provided each week - feeding around 300 people,01204 385 848 ,One morning per week,People who receive vouchers (from one of 100 referral agencies) are informed of the location and opening times of the foodbank,http://www.urbanoutreach.co.uk/projects/59,,
Registered Charity,Food Bank,Trussell Trust,Atherton & Leigh (King Street) Foodbank,Foodbank Voucher,"Kingsleigh Methodist Church, King Street, Leigh",WN7 4LR,,info@athertonleigh.foodbank.org.uk,Monday & Tuesday 10am - 12noon,,http://athertonleigh.foodbank.org.uk/,,
Registered Charity,Food Bank,Trussell Trust,Atherton & Leigh (Vernon Street) Foodbank,Foodbank Voucher,"Leigh Baptist Church, 35 Vernon Street, Leigh",WN7 1BH,,info@athertonleigh.foodbank.org.uk,Thursday 10am - 12noon,,http://athertonleigh.foodbank.org.uk/,,
