# ----------------------------------------
# Main view
# Pages
# 20170401-20170630
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,"8,354","6,173",00:00:43,"5,192",23.27%,26.39%,£0.00
/give-help/,"4,138","2,933",00:00:29,495,31.71%,12.64%,£0.00
/find-help/,"3,677","2,229",00:00:24,789,24.08%,13.03%,£0.00
/manchester/,"3,599","2,961",00:00:30,729,28.49%,16.56%,£0.00
/manchester/bigchangemcr/,"3,423","2,610",00:01:08,"2,131",37.18%,39.88%,£0.00
/give-help/help/,"3,387","2,336",00:02:02,554,54.50%,43.73%,£0.00
/about/,"1,159",819,00:01:22,145,31.72%,28.21%,£0.00
/find-help/accom/?location=my-location,"1,133",551,00:00:20,0,0.00%,6.53%,£0.00
/give-help/volunteer/,"1,082",900,00:01:42,103,74.51%,49.45%,£0.00
/manchester/emergency-help/,941,631,00:01:43,376,64.99%,40.17%,£0.00
/find-help/all-service-providers/?location=manchester,899,519,00:01:54,101,53.40%,22.25%,£0.00
/give-help/donate/?location=manchester,815,558,00:01:14,76,75.00%,37.55%,£0.00
/manchester/bigchangemcr/about/,786,640,00:02:21,75,68.42%,37.02%,£0.00
/contact/,723,509,00:01:35,84,41.18%,33.06%,£0.00
/join-action-group/,716,526,00:02:05,137,65.22%,36.03%,£0.00
/find-help/meals/timetable/?location=my-location,693,403,00:00:40,7,57.14%,15.30%,£0.00
/read-the-charter/,684,535,00:01:19,107,50.93%,30.99%,£0.00
/give-help/offer-items/,636,511,00:00:57,53,50.94%,28.14%,£0.00
/give-help/donate/,628,531,00:00:06,109,22.02%,4.62%,£0.00
/give-help/help/?location=manchester,504,392,00:02:16,370,52.29%,48.41%,£0.00
/manchester/standards-toolkit/,496,361,00:02:07,173,61.85%,41.73%,£0.00
/find-help/accom/?location=manchester&range=10000,449,163,00:01:03,20,10.00%,17.37%,£0.00
/find-help/accommodation/,399,45,00:01:08,16,18.75%,3.26%,£0.00
/find-help/organisation/?organisation=coffee4craig,394,336,00:00:59,10,0.00%,16.24%,£0.00
/find-help/support/?location=my-location,361,167,00:00:40,1,0.00%,7.20%,£0.00
,"56,324","38,697",00:00:57,"13,322",34.45%,23.65%,£0.00

Day Index,Pageviews
4/1/17,296
4/2/17,230
4/3/17,940
4/4/17,914
4/5/17,615
4/6/17,694
4/7/17,545
4/8/17,156
4/9/17,217
4/10/17,976
4/11/17,"1,168"
4/12/17,"2,810"
4/13/17,"1,281"
4/14/17,"1,002"
4/15/17,690
4/16/17,414
4/17/17,355
4/18/17,614
4/19/17,622
4/20/17,629
4/21/17,418
4/22/17,240
4/23/17,257
4/24/17,613
4/25/17,745
4/26/17,788
4/27/17,"1,170"
4/28/17,492
4/29/17,243
4/30/17,326
5/1/17,712
5/2/17,733
5/3/17,603
5/4/17,741
5/5/17,573
5/6/17,267
5/7/17,325
5/8/17,786
5/9/17,"1,179"
5/10/17,"1,107"
5/11/17,"1,357"
5/12/17,659
5/13/17,357
5/14/17,319
5/15/17,475
5/16/17,"1,058"
5/17/17,924
5/18/17,"1,247"
5/19/17,583
5/20/17,335
5/21/17,397
5/22/17,530
5/23/17,653
5/24/17,882
5/25/17,883
5/26/17,694
5/27/17,275
5/28/17,281
5/29/17,362
5/30/17,750
5/31/17,602
6/1/17,895
6/2/17,493
6/3/17,289
6/4/17,267
6/5/17,571
6/6/17,672
6/7/17,616
6/8/17,809
6/9/17,418
6/10/17,250
6/11/17,440
6/12/17,537
6/13/17,650
6/14/17,455
6/15/17,674
6/16/17,385
6/17/17,123
6/18/17,118
6/19/17,563
6/20/17,480
6/21/17,524
6/22/17,751
6/23/17,630
6/24/17,246
6/25/17,248
6/26/17,535
6/27/17,678
6/28/17,725
6/29/17,894
6/30/17,279
,"56,324"
